               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,           0.0074046,           0.0054039,            0.027948,             0.62869,             0.77282,             0.79204,             0.76557,           0.0022988,           0.0020242,           0.0086294,            0.001882,            0.001882,            0.001882
                  84,           0.0077518,           0.0053918,             0.03079,             0.70025,             0.77245,             0.83112,             0.80885,           0.0020878,           0.0018312,           0.0083038,            0.001783,            0.001783,            0.001783
                  85,           0.0070414,           0.0051255,            0.027662,             0.70019,              0.7634,             0.80931,             0.77725,           0.0021708,           0.0018422,            0.008419,            0.001684,            0.001684,            0.001684
                  86,            0.006909,           0.0053311,            0.028256,             0.63307,             0.82027,             0.80911,             0.78273,           0.0021665,            0.001848,           0.0083665,            0.001585,            0.001585,            0.001585
                  87,           0.0073166,           0.0052744,            0.028033,             0.71269,             0.77593,             0.81174,             0.78814,            0.002105,           0.0018738,           0.0081857,            0.001486,            0.001486,            0.001486
                  88,            0.006866,           0.0052239,            0.027594,             0.72266,             0.78174,             0.83413,             0.81221,            0.002006,           0.0017234,           0.0079672,            0.001387,            0.001387,            0.001387
                  89,           0.0065425,           0.0050197,            0.027242,              0.6606,             0.79043,             0.81798,             0.79561,           0.0019826,           0.0018292,           0.0079575,            0.001288,            0.001288,            0.001288
                  90,           0.0064596,           0.0052434,            0.026822,             0.72258,             0.77654,             0.83386,             0.80627,           0.0020443,            0.001832,           0.0078251,            0.001189,            0.001189,            0.001189
                  91,           0.0063882,           0.0049694,            0.027644,             0.68289,             0.78857,             0.83372,             0.80786,           0.0020209,           0.0018267,           0.0078802,             0.00109,             0.00109,             0.00109
                  92,            0.006245,           0.0050067,            0.027335,             0.65842,             0.84004,              0.8294,             0.80624,           0.0018731,           0.0017973,           0.0078277,            0.000991,            0.000991,            0.000991
                  93,           0.0063968,           0.0051959,            0.027247,              0.6676,             0.81286,             0.82882,             0.80728,           0.0019251,           0.0019381,            0.007766,            0.000892,            0.000892,            0.000892
                  94,           0.0062324,           0.0048948,            0.027802,             0.62301,             0.85433,              0.8402,             0.82044,            0.001931,           0.0020804,           0.0075267,            0.000793,            0.000793,            0.000793
                  95,           0.0058454,            0.004929,            0.027092,             0.61109,             0.84688,             0.86529,             0.85002,           0.0017991,           0.0019403,           0.0074163,            0.000694,            0.000694,            0.000694
                  96,           0.0057148,           0.0049533,            0.025239,             0.66349,             0.83441,             0.85721,             0.83908,            0.001848,           0.0018051,           0.0074101,            0.000595,            0.000595,            0.000595
                  97,           0.0059682,            0.005039,            0.026793,             0.63083,             0.84041,             0.86008,             0.84009,           0.0018847,           0.0019622,           0.0073417,            0.000496,            0.000496,            0.000496
                  98,           0.0055151,           0.0048352,            0.026713,             0.61223,             0.83275,             0.86682,             0.84085,            0.001887,           0.0018763,           0.0072052,            0.000397,            0.000397,            0.000397
                  99,           0.0055675,            0.005018,             0.02682,             0.61409,             0.82815,             0.86603,             0.84978,           0.0017387,           0.0017807,           0.0071704,            0.000298,            0.000298,            0.000298
